Period;Grupp;Serie;Värde
2021-12-15;Valutor mot svenska kronor;1 EUR;10.2906
2021-12-16;Valutor mot svenska kronor;1 EUR;10.2554
2021-12-17;Valutor mot svenska kronor;1 EUR;10.2433
2021-12-20;Valutor mot svenska kronor;1 EUR;10.2957
2021-12-21;Valutor mot svenska kronor;1 EUR;10.3151
2021-12-22;Valutor mot svenska kronor;1 EUR;10.3152
2021-12-23;Valutor mot svenska kronor;1 EUR;10.323
2021-12-27;Valutor mot svenska kronor;1 EUR;10.3425
2021-12-28;Valutor mot svenska kronor;1 EUR;10.2684
2021-12-29;Valutor mot svenska kronor;1 EUR;10.2473
2021-12-30;Valutor mot svenska kronor;1 EUR;10.2269
2021-12-15;Valutor mot svenska kronor;1 USD;9.1283
2021-12-16;Valutor mot svenska kronor;1 USD;9.0701
2021-12-17;Valutor mot svenska kronor;1 USD;9.0398
2021-12-20;Valutor mot svenska kronor;1 USD;9.145
2021-12-21;Valutor mot svenska kronor;1 USD;9.1304
2021-12-22;Valutor mot svenska kronor;1 USD;9.151
2021-12-23;Valutor mot svenska kronor;1 USD;9.1164
2021-12-27;Valutor mot svenska kronor;1 USD;9.1384
2021-12-28;Valutor mot svenska kronor;1 USD;9.0674
2021-12-29;Valutor mot svenska kronor;1 USD;9.0788
2021-12-30;Valutor mot svenska kronor;1 USD;9.0437
